Year,Crude oil and NGL production
1971,2490.52
1972,2633.79
1973,2870.44
1974,2875.22
1975,2739.9
1976,2966.43
1977,3069.44
1978,3107.62
1979,3228.92
1980,3110.75
1981,2941.8
1982,2812.14
1983,2790.84
1984,2869.2
1985,2818.8
1986,2934.74
1987,2967.08
1988,3103.37
1989,3141.94
1990,3186.86
1991,3188.08
1992,3226.49
1993,3254.85
1994,3286.94
1995,3340.2
1996,3430.26
1997,3528.35
1998,3589.48
1999,3526.35
2000,3654.09
2001,3664.85
2002,3634.26
2003,3789.99
2004,3949.74
2005,4004.46
2006,4046.19
2007,4049.23
2008,4099.27
2009,4004.59
2010,4104.06
2011,4150.46
2012,4245.08
2013,4265.12
2014,4352.5
2015,4458.38
2016,4516.18
2017,4505.62
2018,4619.32
2019,4617.42
2020,4296.19
